Job ID,State,Count
cyt9vgp78z600082jjkg
11101,554
01001,590
00000,4455
11010,448
10011,96
10110,84
01000,615
00001,310
10100,704
11100,181
01110,264
10000,141
10111,45
00010,130
00111,56
11011,62
10010,129
10101,118
00100,326
00110,70
01101,105
01100,65
11000,63
11111,32
11110,120
01111,42
10001,25
00101,30
01011,16
01010,81
11001,24
00011,19
Job ID,State,Count
cyt9vgp78z600082jjkg
00000,4093
01001,621
10100,717
00100,382
10111,70
10011,93
00110,73
00101,40
01110,278
10000,96
00010,116
10010,106
11100,189
01010,75
11010,408
10110,73
01000,630
11110,115
10101,136
01101,112
11101,653
11000,58
01100,69
01111,60
11111,63
00011,20
00001,393
11001,25
11011,76
01011,42
10001,22
00111,96
Job ID,State,Count
cyt9vgp78z600082jjkg
01001,545
00000,4354
01000,609
10100,783
00110,82
11101,505
00010,139
11010,416
11110,126
01010,91
10000,123
01110,240
00100,432
11100,202
01111,53
01100,95
01101,108
10110,93
10001,18
11000,82
00101,37
10011,71
00001,257
10010,126
00111,80
01011,29
00011,24
10101,101
11111,51
11001,30
11011,54
10111,44
Job ID,State,Count
cyt9vgp78z600082jjkg
00000,4179
01000,593
00001,357
01110,225
10100,707
11101,617
01101,113
10010,149
00101,39
01001,578
11010,377
01011,31
10101,125
01100,100
10111,55
00111,74
10000,113
00010,132
11110,149
00110,93
10011,93
01111,48
01010,78
11100,187
11000,74
11011,66
11001,26
11111,37
00100,451
10110,93
10001,22
00011,19
Job ID,State,Count
"<bound method BasePrimitiveJob.job_id of <RuntimeJobV2('cz2pmf9kvm9g008fx7f0', 'sampler')>>"
00110,54
00000,5594
11100,113
11101,479
01010,58
01000,525
10100,662
11010,316
11011,51
00001,373
11110,41
10000,123
01001,613
00100,132
10010,88
10101,75
00011,22
00111,61
01011,30
01101,30
00010,109
01111,34
11111,50
10011,70
10110,40
10111,19
01110,118
01100,27
11000,44
11001,20
00101,16
10001,13
Job ID,State,Count
"<bound method BasePrimitiveJob.job_id of <RuntimeJobV2('cz2pmkjh0kc00088jv1g', 'sampler')>>"
10010,104
11101,485
00100,278
00000,5305
10011,80
11010,290
10100,680
10111,37
10000,113
01101,54
01011,33
11111,34
00001,338
10110,58
11000,48
11100,119
01000,523
00110,58
01001,577
01110,175
00010,130
10101,74
11110,73
01100,27
10001,12
01010,61
11001,30
00101,24
00011,7
01111,35
11011,78
00111,60
Job ID,State,Count
"<bound method BasePrimitiveJob.job_id of <RuntimeJobV2('cz2pmvb39f40008s32c0', 'sampler')>>"
11100,132
11101,456
01101,37
00000,5715
01001,544
11001,31
01000,470
01110,140
11000,45
11010,280
00001,376
11111,27
00100,167
00010,120
10100,636
01100,18
10011,72
10110,52
00101,11
10101,67
10111,17
00011,15
00110,48
10001,11
01011,27
01111,36
10000,124
10010,100
11110,43
00111,58
11011,63
01010,62
Job ID,State,Count
"<bound method BasePrimitiveJob.job_id of <RuntimeJobV2('cz2pmz3p6030008c52c0', 'sampler')>>"
11011,82
00000,5542
11101,500
01001,631
01110,132
10100,636
10101,91
11010,276
01000,544
00001,390
10010,93
11110,69
10011,79
01010,47
11100,123
00010,121
10000,124
00111,52
00110,42
11000,35
10110,42
00101,20
01011,25
00100,120
10111,23
01111,39
11111,32
00011,15
11001,20
01101,30
01100,18
10001,7
Job ID,State,Count
"<bound method BasePrimitiveJob.job_id of <RuntimeJobV2('cz2pncn1xvhg008dxqd0', 'sampler')>>"
00110,52
00000,5512
10011,65
10100,649
00001,311
11000,41
11111,33
11110,63
10000,167
01111,35
01001,572
11101,473
10101,69
01000,483
00111,52
01010,64
00100,255
11100,110
11011,64
00010,102
11010,314
00011,22
01011,32
10010,94
01110,149
01101,52
10110,42
10111,25
01100,42
11001,33
10001,13
00101,10
Job ID,State,Count
"<bound method BasePrimitiveJob.job_id of <RuntimeJobV2('cz2pre1p6030008c52rg', 'sampler')>>"
10011,88
10101,113
10100,547
00000,5213
11010,258
01000,546
10110,41
00001,485
01001,748
00100,110
11101,648
11110,37
11100,125
01100,18
00101,21
00111,76
10000,113
01111,55
11111,36
00010,105
01101,57
01110,125
11011,77
01010,56
11001,32
11000,39
10010,90
10111,38
00110,37
00011,19
01011,36
10001,11
